Code,obesity_pre_teen
E02000001,0.23214285714285715
E02000002,0.24015748031496062
E02000003,0.23961661341853036
E02000004,0.21014492753623187
E02000005,0.24242424242424243
E02000007,0.25675675675675674
E02000008,0.27315914489311166
E02000009,0.2988505747126437
E02000010,0.2507042253521127
E02000011,0.251063829787234
E02000012,0.2540106951871658
E02000013,0.2344632768361582
E02000014,0.2478386167146974
E02000015,0.2682926829268293
E02000016,0.23986486486486486
E02000017,0.24734982332155478
E02000018,0.26558265582655827
E02000019,0.2713864306784661
E02000020,0.26535626535626533
E02000021,0.33220338983050846
E02000022,0.2962962962962963
E02000023,0.2730496453900709
E02006799,0.24705882352941178
E02000024,0.125
E02000025,0.24561403508771928
E02000026,0.18497109826589594
E02000027,0.18947368421052632
E02000028,0.1610738255033557
E02000029,0.23043478260869565
E02000030,0.21739130434782608
E02000031,0.19875776397515527
E02000032,0.1362126245847176
E02000033,0.19771863117870722
E02000034,0.1875
E02000035,0.189873417721519
E02000036,0.23492063492063492
E02000037,0.14551083591331268
E02000038,0.18220338983050846
E02000039,0.18309859154929578
E02000040,0.16908212560386474
E02000041,0.2032520325203252
E02000042,0.18220338983050846
E02000043,0.12105263157894737
E02000044,0.21138211382113822
E02000045,0.21212121212121213
E02000046,0.13380281690140844
E02000047,0.2512690355329949
E02000048,0.14342629482071714
E02000049,0.28405797101449276
E02000050,0.2
E02000051,0.13114754098360656
E02000052,0.16748768472906403
E02000053,0.23737373737373738
E02000054,0.22857142857142856
E02000055,0.17180616740088106
E02000056,0.11267605633802817
E02000057,0.15384615384615385
E02000058,0.14847161572052403
E02000059,0.18699186991869918
E02000060,0.14743589743589744
E02000061,0.0851063829787234
E02000062,0.19895287958115182
E02000063,0.1907514450867052
E02000064,0.18032786885245902
E02000065,0.2756756756756757
E02000066,0.26520681265206814
E02000067,0.26605504587155965
E02000068,0.2902097902097902
E02000069,0.34065934065934067
E02000070,0.22317596566523606
E02000071,0.2491349480968858
E02000072,0.23093681917211328
E02000073,0.23134328358208955
E02000074,0.28205128205128205
E02000075,0.19047619047619047
E02000077,0.22972972972972974
E02000078,0.21774193548387097
E02000079,0.12690355329949238
E02000080,0.2565789473684211
E02000081,0.273542600896861
E02000082,0.22142857142857142
E02000083,0.18404907975460122
E02000084,0.155893536121673
E02000085,0.19696969696969696
E02000086,0.20465116279069767
E02000087,0.14349775784753363
E02000088,0.20869565217391303
E02000089,0.18007662835249041
E02000090,0.15789473684210525
E02000091,0.2081447963800905
E02000092,0.28217821782178215
E02006785,0.24257425742574257
E02000093,0.20723684210526316
E02000094,0.2357142857142857
E02000095,0.23214285714285715
E02000096,0.1853932584269663
E02000097,0.22972972972972974
E02000098,0.25
E02000099,0.23648648648648649
E02000100,0.21524663677130046
E02000101,0.26223776223776224
E02000102,0.21652421652421652
E02000103,0.21921921921921922
E02000104,0.2413793103448276
E02000105,0.23628691983122363
E02000106,0.30434782608695654
E02000107,0.1981981981981982
E02000108,0.24186046511627907
E02000109,0.2746478873239437
E02000110,0.23333333333333334
E02000111,0.22039473684210525
E02000112,0.25830258302583026
E02000113,0.27403846153846156
E02000114,0.27751196172248804
E02000115,0.2900763358778626
E02000116,0.24
E02000117,0.28270042194092826
E02000118,0.19375
E02000119,0.25308641975308643
E02000120,0.2054794520547945
E02000121,0.18412698412698414
E02000122,0.20418848167539266
E02000123,0.310546875
E02000124,0.1782178217821782
E02000125,0.18218623481781376
E02000126,0.2833333333333333
E02000127,0.23270440251572327
E02000128,0.14864864864864866
E02000130,0.2107843137254902
E02000131,0.24324324324324326
E02000132,0.16071428571428573
E02000133,0.13548387096774195
E02000134,0.12105263157894737
E02000135,0.27884615384615385
E02000136,0.15789473684210525
E02000137,0.1271186440677966
E02000138,0.11214953271028037
E02000139,0.14705882352941177
E02000140,0.21036585365853658
E02000141,0.21978021978021978
E02000142,0.1145374449339207
E02000144,0.18579234972677597
E02000145,0.24333333333333335
E02000146,0.17903930131004367
E02000147,0.11068702290076336
E02000148,0.10909090909090909
E02000149,0.19305019305019305
E02000150,0.13804713804713806
E02000151,0.0915032679738562
E02000152,0.14583333333333334
