Code,no_car_in_household,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,health_life_expectancy_at_birth,child_poverty,overcrowded_houses,self_harm_hospital_admission,AvPTAI2015,supermarket,fast_food,population_cannot_speak_english,Limiting_long-term_illness_disability,hospital_admission_associated_with_alcohol,regular_smoking_at15,non_white_ethnic_group,net weekly income,education_no qualifications,general health age 50-64,work_49hr_more,samhi_index.2011
E02000031,611,Barnet 008,47.1,14.81481481,68.197055,5.8,9.4,52,290.2312034220532,2,0,3.2,15.6,75.4,3.2,28.4,1055,14.5,4.097902097902098,642,-0.9475575421384578
E02000032,356,Barnet 009,30.6,13.73307544,67.02257,6.0,6.3,52.8,561.8330989010989,1,0,2.8,14.0,71.8,3.5,32.3,1075,16.3,4.038338658146965,546,-2.041845885435796
E02000033,807,Barnet 010,48.9,15.25862069,66.245885,14.8,13.1,61.3,421.1559769585253,0,0,3.2,16.1,89.3,2.9,31.0,870,18.5,4.8115667219720315,504,-1.336338486036896
E02000034,887,Barnet 011,42.2,13.14636284,67.2999,13.2,13.1,39.9,419.2611544715447,2,0,3.0,14.4,80.3,2.7,29.3,960,15.5,4.284023668639053,643,-1.2902781389218636
E02000035,970,Barnet 012,47.3,12.93478261,65.504,12.1,18.3,47.8,175.09816190476192,0,0,3.8,15.7,80.9,2.7,36.1,965,14.2,4.586920210715662,677,-0.8225253189240801
E02000036,843,Barnet 013,42.7,19.73333333,64.65823,12.6,14.9,45.1,478.5508193277311,1,1,3.4,14.4,92.5,2.3,42.0,960,17.6,4.602862756104406,650,-1.5145955528465975
E02000037,724,Barnet 014,44.6,26.85325265,66.959385,7.8,11.9,60.9,314.34391145,2,1,2.7,14.2,71.2,2.9,36.5,1030,17.2,4.2808746535263325,679,-1.725785875279106
E02000038,993,Barnet 015,46.1,15.54054054,64.997215,12.5,16.1,73.1,435.0301264822135,1,0,3.9,14.7,86.7,2.2,34.5,970,15.4,4.27807486631016,817,-1.1084196931004568
E02000039,408,Barnet 016,36.4,18.23085221,70.467745,9.0,11.1,26.5,566.1661009036145,2,0,2.3,12.6,74.7,3.3,29.9,1160,11.3,3.4906367041198503,638,-1.3986865346504236
E02000040,638,Barnet 017,49.6,22.63759086,67.485825,12.8,14.2,49.6,344.9373276353276,1,0,3.7,14.8,71.9,2.4,37.7,930,17.5,4.665914857626163,503,-1.2367737436157
E02000041,878,Barnet 018,43.0,25.15611062,65.75049,12.9,17.1,68.4,206.1053203285421,3,0,4.9,14.8,94.1,2.2,42.8,925,18.2,4.5195160922163895,545,-1.853357777755926
E02000042,1590,Barnet 019,43.2,13.36593317,65.159865,11.6,20.7,48.4,159.58913764044945,2,0,5.6,15.4,88.0,2.4,42.0,935,14.9,4.398546567221266,807,-0.9485321818583063
E02000043,449,Barnet 020,32.4,14.59510358,69.62998,3.9,8.6,20.4,469.2608228571429,0,0,4.6,11.2,55.8,3,39.6,1320,10.4,2.9017857142857144,696,-1.601790749640879
E02000044,918,Barnet 021,47.5,18.12191104,61.94451,17.1,20.9,57.7,215.4489082568808,0,0,4.5,15.0,90.8,1.7,43.9,865,21.0,5.166646016602652,475,-1.4863998743387368
E02000045,1450,Barnet 022,48.7,13.23430115,64.278485,15.8,20.3,73,489.3867203389831,1,0,3.7,14.1,84.8,2.3,35.5,875,16.7,5.632700958341482,677,-1.46945320318791
E02000046,964,Barnet 023,43.2,11.8556701,65.980085,8.9,22.4,43.5,138.72239647577092,2,0,4.9,12.1,68.8,3.4,37.2,1075,11.1,3.8,659,-1.612385768555202
E02000047,1669,Barnet 024,48.9,20.72127139,62.026525,19.8,29.0,51.3,140.08878545454544,1,0,7.4,15.9,106.9,1.5,53.9,715,24.2,5.701793521905952,515,-1.2053952287248886
E02000048,668,Barnet 025,47.8,18.51568477,70.220285,10.0,12.4,35,174.91420801232664,0,0,3.6,12.3,66.1,2.6,36.1,1100,12.4,3.473566262605684,854,-1.494803537626168
E02000049,1363,Barnet 026,47.4,26.6146203,58.238905,30.0,34.3,62.5,576.5890045248868,0,0,5.7,15.2,109.4,1.4,61.5,685,21.4,5.703869222627308,254,-1.4543412757338134
E02000050,1248,Barnet 027,47.4,17.16475096,61.8008,15.5,20.6,29.4,283.8196761904762,1,3,4.6,15.1,85.8,2.3,37.6,955,16.4,5.3223239156386795,760,-1.4977244568699437
E02000051,1014,Barnet 028,40.8,22.04301075,68.78882,7.1,16.0,25.5,481.9323636363636,1,0,3.8,14.2,61.2,3.1,34.3,1025,12.9,3.921110981444743,717,-1.9252101016521923
