Code,Msoa_name,education_no qualifications,lone_parent_unemployed,work_49hr_more,families_with_3plus_kids,child_poverty,overcrowded_houses,limiting_long-term_illness_disability,self_harm_hospital_admission,hospital_admission_associated_with_alcohol,samhi_index.2011,population_cannot_speak_english
E02000078,Bexley 014,19.3,34.4,442,13.71134021,10.3,4.3,14.0,36.1,86.1,-1.542617555794136,0.6
E02000079,Bexley 015,21.1,30.3,506,14.16490486,13.6,5.8,17.7,27,83.0,-1.039148255590377,1.0
E02000080,Bexley 016,24.1,38.6,517,14.48911223,11.3,7.4,15.7,19.9,75.0,-1.66581303261634,1.6
E02000081,Bexley 017,25.5,37.2,416,15.07592191,13.7,4.7,18.6,64.4,96.6,-1.151231653852595,0.6
E02000082,Bexley 018,21.2,21.9,551,12.5,6.0,4.2,13.7,13.8,73.2,-1.748083395909552,0.9
E02000083,Bexley 019,24.0,41.7,530,19.08339594,17.3,6.6,16.3,82,100.8,-1.386090164948453,0.8
E02000084,Bexley 020,19.8,29.6,769,13.46749226,7.8,4.2,14.6,23.4,69.5,-1.516495790511083,0.7
E02000085,Bexley 021,23.8,27.3,460,13.41911765,9.1,5.0,13.9,41.9,87.3,-1.882818010048945,0.7
E02000086,Bexley 022,19.4,25.6,517,12.47401247,5.5,4.1,12.7,31.2,79.0,-1.910016979812219,0.4
E02000087,Bexley 023,18.0,35.2,584,16.95906433,7.0,3.6,15.8,30.2,68.5,-2.185666948509343,0.4
E02000088,Bexley 024,20.4,27.5,475,15.28795812,6.2,3.6,14.6,25.3,71.8,-1.898608952819191,0.4
E02000089,Bexley 025,20.8,26.5,454,13.26530612,7.3,2.5,16.2,31.2,69.1,-1.426105163980559,0.2
E02000090,Bexley 026,21.5,39.8,563,10.99020675,11.6,8.4,18.2,42.3,89.8,-0.6201935092005024,0.5
E02000091,Bexley 027,21.2,39.3,628,14.13953488,14.0,10.1,17.8,43.9,77.4,-1.020367826134696,0.7
E02000092,Bexley 028,28.5,52.7,334,18.34451902,25.5,10.7,20.0,107.3,111.5,-1.399930074288253,1.0
E02000093,Brent 001,21.7,51.8,586,18.48484848,12.1,20.7,14.8,35.8,103.4,-1.911179348871228,9.4
E02000094,Brent 002,19.9,44.0,512,21.9876869,14.6,21.7,13.9,29.1,96.9,-1.99890093302137,7.9
E02000095,Brent 003,21.1,47.2,522,18.21396994,9.5,22.5,16.2,22,82.1,-1.945907634871609,8.6
