Code,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,population_cannot_speak_english,Limiting_long-term_illness_disability,education_no qualifications,work_49hr_more
E02000086,Bexley 022,25.6,12.47401247,0.4,12.7,19.4,517
E02000087,Bexley 023,35.2,16.95906433,0.4,15.8,18.0,584
E02000088,Bexley 024,27.5,15.28795812,0.4,14.6,20.4,475
E02000089,Bexley 025,26.5,13.26530612,0.2,16.2,20.8,454
E02000090,Bexley 026,39.8,10.99020675,0.5,18.2,21.5,563
E02000091,Bexley 027,39.3,14.13953488,0.7,17.8,21.2,628
E02000092,Bexley 028,52.7,18.34451902,1.0,20.0,28.5,334
E02000093,Brent 001,51.8,18.48484848,9.4,14.8,21.7,586
E02000094,Brent 002,44.0,21.9876869,7.9,13.9,19.9,512
E02000095,Brent 003,47.2,18.21396994,8.6,16.2,21.1,522
E02000096,Brent 004,32.1,14.65201465,5.4,14.8,15.3,567
E02000097,Brent 005,43.2,23.31233123,8.4,14.8,20.9,448
E02000098,Brent 006,38.3,21.20253165,7.0,14.5,17.0,474
E02000099,Brent 007,41.5,20.63628547,8.1,12.7,16.8,485
E02000100,Brent 008,28.9,18.91891892,4.1,12.3,11.5,564
E02000101,Brent 009,46.1,20.78025478,7.7,16.1,20.2,445
E02000102,Brent 010,49.8,31.98458574,11.0,14.9,25.7,322
E02000103,Brent 011,46.8,25.51020408,6.9,15.6,22.3,443
E02000104,Brent 012,40.8,19.31216931,8.3,17.1,18.3,369
E02000105,Brent 013,40.7,18.11352254,8.6,12.9,17.2,412
E02000106,Brent 014,55.3,24.62462462,10.6,13.6,22.7,464
E02000107,Brent 015,46.1,17.46724891,6.4,12.8,15.9,841
E02000108,Brent 016,45.1,20.97560976,9.1,14.5,17.9,306
E02000109,Brent 017,44.4,23.69584439,8.3,14.7,18.9,457
E02000110,Brent 018,45.1,20.50970874,5.6,13.7,15.1,629
E02000111,Brent 019,43.8,17.72575251,11.1,15.4,20.0,412
E02000112,Brent 020,41.2,17.99610895,11.2,14.8,20.3,473
E02000113,Brent 021,51.9,28.13536828,8.1,16.6,26.3,271
E02000114,Brent 022,45.3,19.18976546,6.9,12.1,15.3,710
E02000115,Brent 023,41.5,16.13333333,4.5,14.9,12.9,874
E02000116,Brent 024,45.2,18.61313869,9.4,14.2,21.8,383
E02000117,Brent 025,46.4,24.93043962,9.1,16.3,25.3,360
E02000118,Brent 026,45.3,17.44855967,13.8,14.7,22.7,388
E02000119,Brent 027,47.2,28.71467639,6.8,16.4,25.4,229
E02000120,Brent 028,45.8,14.00233372,3.5,12.7,13.0,1041
E02000121,Brent 029,52.2,14.79400749,14.6,14.3,21.6,384
E02000122,Brent 030,38.1,21.19914347,3.8,14.1,16.0,704
E02000123,Brent 031,49.0,19.94177584,10.0,14.0,22.5,709
E02000124,Brent 032,41.2,15.85040071,3.4,11.2,12.3,1195
E02000125,Brent 033,42.9,15.09881423,5.3,13.1,17.6,879
E02000126,Brent 034,47.9,25.0,5.1,17.2,22.4,359
E02000127,Bromley 001,53.2,15.24590164,1.0,19.5,27.8,463
E02000128,Bromley 002,38.8,11.08786611,0.5,14.3,18.1,586
E02000130,Bromley 004,34.7,16.35094716,1.7,13.7,14.8,573
E02000131,Bromley 005,45.4,13.24324324,1.9,12.8,13.3,649
E02000132,Bromley 006,49.8,9.213759214,1.1,14.6,14.1,814
E02000133,Bromley 007,34.3,13.88646288,0.3,14.5,11.7,1146
E02000134,Bromley 008,41.7,9.42408377,1.1,14.7,15.0,908
E02000135,Bromley 009,49.0,15.44217687,2.5,17.6,22.7,435
E02000136,Bromley 010,55.6,17.27272727,0.8,19.8,23.8,391
E02000137,Bromley 011,39.2,13.47926267,0.8,14.4,13.0,657
E02000138,Bromley 012,28.4,11.27717391,0.7,14.5,11.6,781
E02000139,Bromley 013,36.1,11.06427819,0.9,12.3,14.0,598
E02000140,Bromley 014,53.8,21.40522876,1.1,19.4,32.1,346
E02000141,Bromley 015,38.1,14.36170213,1.3,13.3,16.7,449
E02000142,Bromley 016,36.9,15.55959964,0.7,13.8,14.8,721
E02000144,Bromley 018,31.5,11.48587056,0.9,11.5,10.5,782
E02000145,Bromley 019,55.7,19.41594317,1.1,17.3,30.4,366
E02000146,Bromley 020,19.4,11.88380282,0.4,14.7,16.6,582
E02000147,Bromley 021,26.1,19.52965235,0.4,13.0,11.6,654
E02000148,Bromley 022,29.2,14.1509434,0.4,13.8,15.2,530
E02000149,Bromley 023,47.5,14.24581006,0.8,17.0,25.4,445
E02000150,Bromley 024,30.1,15.67291312,0.6,13.5,17.4,599
E02000151,Bromley 025,25.9,11.02863203,0.4,13.9,15.5,631
E02000152,Bromley 026,51.5,18.73684211,0.9,18.1,25.7,348
E02000153,Bromley 027,19.9,15.43498597,0.2,11.8,15.5,544
E02000154,Bromley 028,39.9,14.59183673,0.7,14.4,16.7,616
E02000155,Bromley 029,26.0,15.83220568,0.5,19.5,27.1,384
E02000156,Bromley 030,21.7,15.0390625,0.4,14.8,15.8,843
E02000157,Bromley 031,22.9,15.47131148,0.4,15.2,14.9,499
E02000158,Bromley 032,55.5,22.04806688,0.7,17.2,22.1,396
E02000159,Bromley 033,33.3,17.01346389,0.2,14.2,16.6,585
E02000160,Bromley 034,25.3,16.60039761,0.4,13.8,16.1,642
E02000161,Bromley 035,23.8,14.49407475,0.3,13.5,16.2,571
E02000162,Bromley 036,32.2,13.60381862,0.4,17.4,23.4,428
E02000163,Bromley 037,25.9,15.23394995,0.2,14.0,16.8,631
E02000165,Bromley 039,24.7,15.82417582,0.1,11.6,17.4,528
E02000166,Camden 001,49.4,16.18303571,1.6,16.7,13.2,758
E02000167,Camden 002,31.9,15.71753986,1.0,10.5,5.5,1431
E02000168,Camden 003,47.7,15.27777778,1.8,14.9,12.4,871
E02000169,Camden 004,38.4,20.75919336,1.3,9.8,6.7,1178
E02000170,Camden 005,37.3,12.03369434,2.0,11.0,7.6,1124
E02000171,Camden 006,53.3,16.37831603,1.7,13.7,10.1,1048
E02000172,Camden 007,60.8,20.94370861,4.4,19.8,22.3,633
E02000173,Camden 008,44.0,15.09433962,1.7,10.8,6.0,1433
E02000174,Camden 009,50.8,17.34693878,3.3,15.3,14.5,821
E02000175,Camden 010,48.1,13.18537859,2.3,11.8,8.6,1423
E02000176,Camden 011,31.9,11.28205128,1.4,9.8,5.4,1304
E02000177,Camden 012,59.3,22.13279678,3.9,18.5,19.1,814
E02000178,Camden 013,50.9,18.08118081,3.6,16.9,14.4,1033
E02000179,Camden 014,58.7,18.90166028,2.8,12.3,11.6,852
E02000180,Camden 015,45.9,20.52631579,3.7,14.0,13.4,715
E02000181,Camden 016,59.0,11.25356125,1.4,10.2,6.5,1432
