Code,obesity_pre_teen,samhi_index.2011
E02000001,0.23214285714285715,-1.7064004401915136
E02000002,0.24015748031496062,-1.33198878185045
E02000003,0.23961661341853036,-1.8611083029441071
E02000004,0.21014492753623187,-1.6474198718541146
E02000005,0.24242424242424243,-1.6670696877978854
E02000007,0.25675675675675674,-1.159132586822057
E02000008,0.27315914489311166,-1.4302047180011224
E02000009,0.2988505747126437,-1.3848887480093786
E02000010,0.2507042253521127,-1.6711701386249136
E02000011,0.251063829787234,-1.8792510533310978
E02000012,0.2540106951871658,-2.2342991423284415
E02000013,0.2344632768361582,-1.4540803945592589
E02000014,0.2478386167146974,-1.609954073035029
E02000015,0.2682926829268293,-1.5264899577463964
E02000016,0.23986486486486486,-2.247299904363416
E02000017,0.24734982332155478,-2.17970834438261
E02000018,0.26558265582655827,-1.6648543580376798
E02000019,0.2713864306784661,-1.9434251434997885
E02000020,0.26535626535626533,-1.9378125370085955
E02000021,0.33220338983050846,-1.8029104899118868
E02000022,0.2962962962962963,-2.2332276720195097
E02000023,0.2730496453900709,-2.2259022618310853
E02006799,0.24705882352941178,-1.4141115864504608
E02000024,0.125,-1.3313439937823826
E02000025,0.24561403508771928,-1.541606156949868
E02000026,0.18497109826589594,-1.7298763649279119
E02000027,0.18947368421052632,-1.058442917254884
E02000028,0.1610738255033557,-1.527388542337916
E02000029,0.23043478260869565,-1.4147356739058026
E02000030,0.21739130434782608,-1.3046180680123571
E02000031,0.19875776397515527,-0.9891965764394776
E02000032,0.1362126245847176,-2.054778412689632
E02000033,0.19771863117870722,-1.2488941475098148
E02000034,0.1875,-1.3093019092627147
E02000035,0.189873417721519,-0.8430583420360255
E02000036,0.23492063492063492,-1.5217914794912242
E02000037,0.14551083591331268,-1.7446179160647717
E02000038,0.18220338983050846,-1.1040391014434559
E02000039,0.18309859154929578,-1.4008724858366708
E02000040,0.16908212560386474,-1.2238710268948885
E02000041,0.2032520325203252,-1.730253981670162
E02000042,0.18220338983050846,-0.9382121388796781
E02000043,0.12105263157894737,-1.6029040006883115
E02000044,0.21138211382113822,-1.4857803724412715
